ssvid,shipname_norm,imo,callsign,vessel_class,flag,length_m,tonnage_gt,engine_power,hours,fishing_hours,hours_HS,fishing_hours_HS,gfw_owner,gfw_owner_address,gfw_owner_flag,,owner,owner_source,corporate_actor,corporate_actor_source,main_company,main_company_flag,subsidiaries_and_affiliates,main_company_and_subsidiaries_source,remarks
412326862,TAIXIANG8,8676881,BZSC7,drifting_longlines,CHN,38.23,392,793.21,6516.43,5094.43,4636.04,3816.93,SHANDONG ZHONGLU HAIYAN OCEANIC FISHERIES,"NO.105 YAN'AN 3 ROAD,QINGDAO,CHINA",CHN,TRUE,"SHANDONG ZHONGLU HAIYAN OCEANIC FISHERIES CO.,LTD",GFW,"Shandong Zhonglu Haiyan Oceanic Fisheries Co., Ltd.",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=304531739  http://www.zofco.cn/,Shandong Fisheries Enterprise Group General Corporation,CHN,"Main Company: Shandong Zhonglu Oceanic Fisheries Co., Ltd which is a subsidiary of Shandong Fisheries Enterprise Group General Corporation",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=12009458 http://www.hoovers.com/company-information/cs/company-profile.shandong_zhonglu_oceanic_fisheries_company_limited.5e66de0a83423e5c.html  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=117847613  https://cn.kompass.com/c/shandong-fisheries-enterprises-group-corp/cn021342/,NA
416004245,DEHAI6,8780670,BJ5059,drifting_longlines,TWN,23.25,97.54,701.24,6695.74,5123.32,5030.48,4254.8,XU MEI SHEN,"NO.52-2, JIALIAN RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY 92845, TAIWAN (R.O.C.)",TWN,TRUE,"XU, MEI SHEN",WCPFC,NA,NA,NA,NA,NA,NA,"Could be De Hai Fishery Co. Ltd, but the owner cannot be confirmed: Vessel Name: Checked with Marine Traffic"
417000693,ISHANIDUWA4,NA,NA,NA,LKA,24.26,60.14,355.86,1232.94,255.24,357.68,114.09,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
431700090,KOKEIMARU18,9073529,JREX,drifting_longlines,JPN,49.93,379,855.26,6463.46,3457.6,6127.41,3450.99,KOKEI,"NAGANOBIRU 3F, 19, OGAWA-CHO, YOKOSUKA-SHI, KANAGAWA-KEN, JAPAN.",JPN,TRUE,KOKEI GYOGYO KABUSHIKI KAISHA,IATTC,KOKEI GYOGYO KK,https://world-ships.net/company/33b86cdca25489aa53e3a4871183df5d#.W1TtxthKjwc   https://www.importgenius.com/peru/suppliers/kokei-gyogyo-kabushiki-kaisha   http://www.hoovers.com/company-information/cs/company-profile.kokei_gyogyo_kk.0d74af5893c53fb1.html,KOKEI GYOGYO KK,JPN,NA,NA,Vessel Name: Checked with Marine Traffic
416004242,NIANSHENG168,NA,BJ5065,drifting_longlines,TWN,23.05,99.88,701.24,6477.9,5235.39,6138.95,5235.39,WU YU LI,"32, ZHONGZHENG ROAD, DONGGANG TOWNSHIP, PINGTUNG COUNTY, 92849, CHINA, REPUBLIC OF (TAIWAN)",TWN,TRUE,"WU, YU-Li",WCPFC,YU-LI WU,https://world-ships.com/company/ddeecc56dc29f25e3de46ef6abb19873#.XCmEK3eZPwc,NA,NA,NA,NA,"Hoovers link has Wu Yu Li as a manager for M.T.C. INTERNATIONAL TRADING CO., LTD. (http://www.hoovers.com/company-information/cs/company-profile.mtc_international_trading_co_ltd.ee4a1087b2e1d321.html) but address does not match: Vessel Name: Checked with Marine Traffic"
316002350,ROYALMARINER,NA,VB5397,set_longlines,CAN,26.39,128,494.32,1963.31,835.54,70.61,69.22,NA,NA,NA,FALSE,ANDREW DALEY LIMITED,Government of Canada,ANDREW DALEY LIMITED,https://panjiva.com/Andrew-Daley-Ltd/4058002    https://www.manta.com/ic/mt6bx7m/ca/daley-andrew-limited     http://inspection.gc.ca/active/netapp/fishpoi/us/usresultse.aspx?lang=&iname=ANDREW%20DALEY%20LIMITED%20%22ROYAL%20MARINER%22      https://thenavigatormagazine.com/lifo-decision-looming/,ANDREW DALEY LIMITED,CAN,NA,NA,NA
224108670,LEKANDA,NA,EA6725,other_purse_seines,ESP,23,85,294.12,3606.88,576.6,148.54,102.44,JOSE IGNACIO LECANDA CELAYA,"ASKATASUN BIDEA, 40- 4º IZQ.",ESP,TRUE,JOSE IGNACIO LECANDA CELAYA,ICCAT,NA,NA,NA,NA,NA,NA,Nothing found on owner for vessel
990016007,NET167,NA,NA,set_longlines,NA,25.22,38.48,349.78,2213.95,1058.12,2213.95,1058.12,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
224587000,ZUBEROA,8906456,EGVV,tuna_purse_seines,ESP,80.32,2172,3473.64,2964.04,253.39,283.31,27.21,ATUNEROS CONGELADORES Y TRAN FRI,"LAMERA, 1|BERMEO|48370|VIZCAYA",ESP,TRUE,ATUNEROS CONGELADORES Y TRAN. FRI. S.A.,IOTC,ATUNEROS CONGELADORES Y TRAN. FRI. S.A.,http://www.fis.com/fis/companies/details.asp?l=s&filterby=companies&company=Atunsa&page=1&company_id=11518&country_id=,Atunsa - Atuneros Congeladores y Transportes Frigorificos S.A.,ESP,ATUNSA,http://www.fis.com/fis/companies/details.asp?l=s&filterby=companies&company=Atunsa&page=1&company_id=11518&country_id=,NA
416230600,YUSHUN8,8777702,BJ5021,drifting_longlines,TWN,23.95,96.63,701.24,8024.73,5246.8,5135.13,3621.38,LEE W Y,"NO.23, SHIHYE RD., CIANJHEN DIST., KAOHSIUNG CITY 80665, TAIWAN",TWN,TRUE,LEE W-Y,GFW,National Fisheries Developments Ltd,https://www.fis.com/fis/companies/details.asp?l=e&company_id=59125  https://www.wcpfc.int/node/16960,Bolton Group,ITA,"Bolton Group has aquired minority stake in Trimarine which owns National Fisheries Developments Subsidiaries: Seafman - Sociedad Ecuatoriana de Alimentos y Frigorificos Manta C.A., Tri Marine Fish Company, Grupo Alimentario del Atlántico S.A. - GRALCO S.A., SolTuna Ltd. - Solomon Taiyo, SAMOA TUNA PROCESSORS, INC., The Tuna Store, LLC    Branches:
Tri Marine S,A. de C.V.
Tri Marine Fishing Management, SA -Tri Marine International-
Tri Marine International, Spain, S.L.
Tri Marine International (Pte.) Ltd. (Indian Ocean)
Tri Marine Japan, INC.
National Fisheries Developments, Ltd.
Tri Marine (FSM), INC. 
Tri MArine -American Samoa Representative Office-
Tri Marine -Taiwan Representative Office-
Tri Marine -Thailand Representative Office-
Tri Marine International, S.L. -Spain-
Tri Marine Fishing Management, LLC
SAMOA FISHING MANAGEMENT, INC.
BAJA MARINE FOODS, S.A.P.I. DE C.V.

 Subsidiaries:
Seafman - Sociedad Ecuatoriana de Alimentos y Frigorificos Manta C.A.
Tri Marine Fish Company
Grupo Alimentario del Atlántico S.A. - GRALCO S.A.
SolTuna Ltd. - Solomon Taiyo
SAMOA TUNA PROCESSORS, INC.
The Tuna Store, LLC

 Shareholder/Associate at:
SFPL - Soltai Fishing and Processing Ltd.
Tri-Union Seafoods LLC,
",https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=59117  https://pitchbook.com/profiles/company/62056-27   https://www.undercurrentnews.com/2013/10/08/bolton-group-buys-stake-in-tri-marine/      https://www.fis.com/fis/companies/details.asp?l=e&company_id=149936   http://fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=59117,Same address
98339957,HX6167,NA,NA,drifting_longlines,NA,42.53,620.76,783.57,1963.8,597.92,1963.8,597.92,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
431501731,TAKEMARU8,NA,NA,drifting_longlines,JPN,26.41,177.42,527.66,5211.35,2748.1,3835.35,2717.47,NA,NA,NA,FALSE,"Takebayashi,Masahiro",WCPFC,NA,NA,NA,NA,NA,NA,Nothing found on owner for vessel: Vessel Name: Checked with Marine Traffic
431000931,HANEIMARU188,NA,NA,drifting_longlines,JPN,26.01,161.62,481.97,7113.52,4635.65,4440.42,3347.35,NA,NA,NA,FALSE,HANEI INC,WCPFC,"HANEI, Y.K.",http://www.hoovers.com/company-information/cs/company-profile.hanei_yk.1738629b08292ec2.html,"HANEI, Y.K.",JPN,NA,NA,limited information beyond the hoovers website: Vessel Name: Checked with Marine Traffic
98341656,DONGYU15305,NA,NA,drifting_longlines,NA,50.57,454.68,876.54,3894.99,2260.61,3859,2260.61,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
431003375,MARUNAKAMARU2,NA,NA,set_longlines,JPN,34.55,270.9,922.25,1038.07,58.8,671.43,51.35,NEMURO KAIYO,"6, NARUMI-CHO 10-CHOME, NEMURO-SHI, HOKKAIDO, 087-0017, JAPAN.",JPN,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
412440496,T6S7038,NA,NA,squid_jigger,CHN,46.31,566.79,837.36,7533.98,1529.26,5200.19,1528.92,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Vessel Name: Checked with Marine Traffic
345080011,HANNA,9363247,XCHL4,tuna_purse_seines,MEX,78.33,1755,4046.11,7930.67,1425.82,3955.04,1181.57,PESCA AZTECA,"AV. PUERTO DE MAZATLAN 406 INTERIOR F COL. ALFREDO V. BONFIL 82050 MAZATLÁN, SINALOA MÉXICO",MEX,TRUE,"Pesca Azteca, S.A. de C. V.",IATTC,"Pesca Azteca, S.A. de C. V.",http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&company=pesca%20azteca&page=1&company_id=42832&country_id=,PINSA - Pescados Industrializados S.A. de C.V.,MEX,"PINSA group: including PINSA, Pesca Azteca, Mazindustrial",https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=55361  http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&company=pesca%20azteca&page=1&company_id=42832&country_id=,PINSA GROUP is ranked among the most important American in the tuna industry
231160000,FRAM,8814287,XPUK,trawlers,FRO,45.33,727,1759.26,3329.67,532.5,109.13,58.53,JOKIN P F,NA,FRO,TRUE,JOKIN P/F,GFW,JOKIN P/F,https://panjiva.com/Jokin-P-F/28918856  https://world-ships.com/company/4c9270dc0b421f19520745cb4c18302b#.XRWQ59NKjaY  http://www.bl.fo/Default.aspx?ID=73&PID=5734,JOKIN P/F,FRO,NA,NA,NA
416002605,YUCHUN166,NA,BJ4837,drifting_longlines,TWN,26.1,72.78,447.6,6144.92,4410.36,5536.27,4403.82,HWANG SHUENN,"NO.130-1, JHONGSHAN RD., LIOUCIOU TOWNSHIP, PINGTUNG COUNTY 929, TAIWAN",TWN,TRUE,"HWANG, SHUENN-JU",WCPFC,NA,NA,NA,NA,NA,NA,Nothing found on owner for vessel: Vessel Name: Checked with Marine Traffic
257437000,HARVEST,9669756,LDKY,trawlers,NOR,67,2342,3971.7,7953.21,1230.24,168.69,124.95,HARDHAUS,NA,NOR,TRUE,HARDHAUS AS,fiskeridir (norway national registry),HARDHAUS AS,http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=161571,Hogtun AS / Kraen Invest AS,NOR,"Parent Company: Hogtun AS (18.283%), Kraen Invest AS (18.283%)   Shareholder/Associate at: Sjotroll Havbruk AS - Sjotrol Havbruk Subsidiary: Hardhaus Eigedom AS",http://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=161571   https://www.proff.no/aksjon%C3%A6rer/-/hardhaus-as/976547691,owner of Høgtun AS AND Kråen Invest AS have the SAME LAST NAME
416014600,SHINLUNG216,8947474,BI2296,drifting_longlines,TWN,56,718,1044.4,8737.42,7260.55,8675.61,7260.55,SHIN LUNG FISHERIES,"3F-2, NO.296, MING SHENG 1ST RD., KAOHSIUNG,TAIWAN",TWN,TRUE,"SHIN LUNG FISHERY CO., LTD.",GFW,"SHIN LUNG FISHERY CO., LTD.",http://www.hoovers.com/company-information/cs/company-profile.shin_lung_fishery_co_ltd.2caede5b325e09d7.html  https://world-ships.com/company/dab8b55ee47bd1df177b7c69784db59a#.XCF8-M9Khn4  http://www.ftaarea.com/company-details-11/1219880.html,"SHIN LUNG FISHERY CO., LTD.",TWN,NA,NA,NA
416000776,MINGSHENGTSAIR,NA,BK7109,drifting_longlines,TWN,21.8,49.07,406.57,6358.74,2365.43,801.67,405.14,KUNG TA MING,"NO.229-3, GUANGFU RD., SINYUAN TOWNSHIP, PINGTUNG COUNTY 932, TAIWAN",TWN,TRUE,KUNG TA-MING,GFW,Palau International Traders Inc.,http://www.pireport.org/articles/2006/10/23/indonesian-fishermen-rescued-near-palau  http://islandtimes.us/long-established-fishing-company-in-palau-urges-delay-of-pnms-implementation/ https://www.facebook.com/pages/Palau-International-Traders-Inc/1526915920854960 https://www.wcpfc.int/node/14679,Palau International Traders Inc.,PLW,NA,NA,Charterer is Palau International Traders Inc.
345900418,ATILANOCASTANO,8030233,XCLF,tuna_purse_seines,MEX,58.15,1546,1864.22,4884.58,628.96,380.98,64.07,NA,NA,NA,FALSE,MEXICANA DE TUNIDOS,maritime connector,COMPANIA MEXICANA DE TUNIDOS SA,https://world-ships.com/company/30ffe27d796c33bbd03c7db8052c845a#.XBb7y3eZNn4  https://www.dateas.com/es/explore/sociedades-mexicanas-inversion-extranjera/compaia-mexicana-de-tunidos-sa-de-cv-1379,COMPANIA MEXICANA DE TUNIDOS SA,MEX,NA,NA,NA
412420921,NINGTAI79,NA,NA,squid_jigger,CHN,41.98,303,681.21,4578.59,937.5,4152.6,937.5,ZHOUSHAN NINGTAI OCEAN FISH,"ROOMS 1708 & 1709, CHANGZHENG PLAZA, 82, CHANGZHENG LU, DONGGANG JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN,TRUE,"ZHOUSHAN NINGTAI OCEAN FISH (EFFECTIVE 1992-06-15) IMO COMPANY NUMBER 4231816 NATIONALITY OF REGISTRATION CHINA, PEOPLE'S REPUBLIC OF",GFW,"Zhoushan Ningtai Ocean Fisheries Co., Ltd",https://macauhub.com.mo/2016/10/14/chinese-company-starts-fishing-in-timor-leste/ https://www.thestrategist.media/Not-enough-fish-in-the-sea-China-is-depleting-the-planet-s-fish-resources_a2596.html  http://www.hoovers.com/company-information/cs/company-profile.zhoushan_ningtai_blue-waters_fishery_coltd.273338f153c5478f.html   https://www.ft.com/content/e7bd4094-ff34-11e6-96f8-3700c5664d30   http://portal.infospectrum.net/searchorder/GoogleCompanySearch.aspx?CompanyId=108371        https://www.diigen.com/supplier/zhoushan-ningtai-ocean-fisheries-co-ltd-china-3966520/    https://panjiva.com/Zhoushan-Ningtai-Ocean-Fisheries-Co-Ltd/30348775          https://en.52wmb.com/supplier/24841163    https://world-ships.com/company/4be916a955a123eddbf34fe1565bfbb2#.W-8dZ5NKgWo,"Zhoushan Ningtai Ocean Fisheries Co., Ltd",CHN,NA,NA,Vessel Name: Checked with Marine Traffic
200041700,NA,NA,NA,drifting_longlines,NA,42.59,465.13,715.67,3089,2071.79,3089,2071.79,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
200016091,NA,NA,NA,NA,NA,19.62,38.55,185.67,149.61,65.32,29,18,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
316001956,SEAGEM,8828056,VB5385,drifting_longlines,CAN,24.51,102,471.91,7745.41,645.5,68.49,67.06,GARY DALEY,NA,CAN,TRUE,GARY DALEY,Government of Canada,GARY DALEY LTD,https://world-ships.com/company/9ec0eeef1908c09d91ecf34dee7dc7ab#.XBK-aBNKhn4,Long Haul Ltd,CAN,Main Company: Long Haul Ltd,https://www.manta.com/ic/mtq8nv5/ca/long-haul-ltd Gary Daley is the president of this company of the same name,NA
259713000,NYSTROEM,7922269,3YQP,other_purse_seines,NOR,53.3,901,1544.55,8768.35,106.59,23.52,15.86,NYBONIA HAV,NA,NOR,TRUE,"NYGARD INGVAR - MIDSUND, NORWAY",Maritime Connector,Nybo Holding AS,http://www.hoovers.com/company-information/cs/company-profile.nybo_holding_as.92fbcd7ae893aa83.html,Progresso Holding AS,NOR,Ultimate Parent Company: Progresso Holding AS,http://www.hoovers.com/company-information/cs/company-profile.nybo_holding_as.92fbcd7ae893aa83.html  http://www.hoovers.com/company-information/cs/company-profile.progresso_holding_as.5a88c2eb5770762f.html,NYGARD INGVAR is the managing director of Nybo Holding AS
98335838,XINSHIJI2014,NA,NA,drifting_longlines,NA,45.42,417.21,860.99,2408.8,766.61,2408.8,766.61,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
431864000,KOYOMARU6,9004384,JRRD,drifting_longlines,JPN,51.2,451.39,740.13,8736.21,6119.17,8019.68,6119.17,KOYO SUISAN,"3-8-7,MISAKI,MIURA-SHI,KANAGAWA-KEN,JAPAN",JPN,TRUE,Sumiyoshi Gyogyo Company LTD,WCPFC,Sumiyoshi Gyogyo Company LTD,http://www.hoovers.com/company-information/cs/company-profile.sumiyoshi_gyogyo_kk.f8c7bcf7d2e355d4.html    https://www.bloomberg.com/profiles/companies/0492600D:JP-sumiyoshi-gyogyo-kk,Sumiyoshi Gyogyo KK,JPN,Subsidiaries exist but not open source,NA,NA
431702580,SHOFUKUMARU88,8921121,JRGW,drifting_longlines,JPN,49.08,391.72,382.2,8602.12,6591.36,8265.44,6591.36,USUFUKU HONTEN,"2-4-11, SAKANAMACHI, KESENNUMA-SHI, MIYAGI-KEN, JAPAN",JPN,TRUE,"KABUSHIKI KAISHA, USUFUKU HONTEN",WCPFC,"USUFUKU HONTEN CO.,LTD.",http://www.hoovers.com/company-information/cs/company-profile.usufuku_honten_coltd.303eacecfba0cef0.html  https://www.bloomberg.com/profiles/companies/5657833Z:JP-usufuku-honten-co-ltd  https://world-ships.com/company/550f1c719114bfbc39ba58cefd15f990#.XAGKOpNKjwc    https://www.msc.org/media-centre/press-releases/japan-usufuku-honten-bluefin-tuna-fishery-enters-msc-assessment,"USUFUKU HONTEN CO.,LTD.",JPN,NA,NA,"subsidiary might exist, information not open source"
412440479,FUYUANYU82,NA,NA,squid_jigger,CHN,50.88,960,814.83,4159.19,1180.07,3296.42,1167.24,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
416226600,JINGMAN168,NA,BJ4617,drifting_longlines,TWN,27,84.19,447.6,3897.88,2934.92,3612.27,2934.92,HUNG SHENG FU,"XINYUAN TOWNSHIP, PINGTUNG COUNTY, CHINA, REPUBLIC OF (TAIWAN)",TWN,TRUE,"HUNG, SHENG FU",WCPFC,NA,NA,NA,NA,NA,NA,Nothing found for owner of vessel
412687090,ZHONGSHUI602,8650071,BYLQ5,NA,CHN,23.99,119,235.2,335.9,227.13,287.48,227.13,CNFC OVERSEAS FISHERIES,"31, MINFENG HUTONG, XINCHENG QU, BEIJING, 100032, CHINA.",CHN,TRUE,"CNFC OVERSEAS FISHERY CO., LTD.",GFW,"CNFC OVERSEAS FISHERIES CO., LTD",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=20368299,"China National Agricultural Development Group Co., Ltd",CHN,"Majority Shareholder: China National Agricultural Development Group Co., Ltd subsidiaries: CNFC Zhoushan Marine Fisheries Co., Dalian Fishing Vessel Co., Senegal Peche S.A. / Senegal Armament S.A.,Yantai Golden Hover Foods Processing Factory (CNFC Group),CNFC China National Fisheries Corporation (CNFC Group),Yantai Marine Fisheries Corp. (CNFC Group), Mauritano-Chinoise de Peche (CNFC Group)",http://www.fis.com/fis/companies/details.asp?l=e&filterby=activities&activity_id=1261&page=1&company_id=32635&country_id=cn https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=22386982 http://www.cofc.com.cn/en/Index.aspx,NA
431680470,KAZUTOKUMARU1,NA,NA,NA,JPN,16.49,64.89,423,900.24,688.83,218.01,215.09,CHOEI KAMEYA,NA,JPN,TRUE,CHOEI KAMEYA,GFW,NA,NA,NA,NA,NA,NA,Nothing found on owner for vessel
431046000,KOUEIMARU,9217498,JH3463,pole_and_line,JPN,34.27,158,865.16,6029.15,714.98,1347.91,319.07,HASHIMOTO MIKIO HASHIMOTO KOUIHI,"2022-35, NAGASHIMA, KIHOKU-CHO, KITAMURO-GUN, MIE, JAPAN ; 2160-6, NAGASHIMA, KIHOKU-CHO, KITAMURO-GUN, MIE, JAPAN",JPN,TRUE,"OMAEZAKI KAIUN - HIROSHIMA, JAPAN",maritime connector,OMAEZAKI KAIUN KK,http://www.hoovers.com/company-information/cs/company-profile.omaezaki_kaiun_kk.b3e26cd3cb21d194.html   https://world-ships.com/company/d1a5e5411fb8c73eec9e9c0ec9f7a0e2#.XA1123eZNn4   http://omaezaki-kaiun.co.jp/business/,OMAEZAKI KAIUN KK,JPN,Omaezaki Kaiun KK Marine shipping: 2 branches exist but are not open source,https://www.bloomberg.com/profiles/companies/5943726Z:JP-omaezaki-kaiun-kk   http://www.hoovers.com/company-information/cs/company-profile.omaezaki_kaiun_kk.b3e26cd3cb21d194.html,connected to a marine shipping company
